epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,293.874,0.86907,0.49638,1.05961,0.99401,1,0.99475,0.82025,0.73735,0.36879,0.95425,0.000495125,0.000495125,0.000495125
63,298.513,0.75859,0.45779,0.99645,0.99399,1,0.99441,0.79273,0.78124,0.38185,0.975,0.00048275,0.00048275,0.00048275
64,303.153,0.83538,0.48975,1.0487,0.99358,1,0.99441,0.81103,0.75672,0.37779,0.95786,0.000470375,0.000470375,0.000470375
65,307.731,0.76603,0.48554,1.00902,0.99254,1,0.9949,0.82689,0.72289,0.3763,0.94119,0.000458,0.000458,0.000458
66,312.387,0.75718,0.45925,0.99853,0.99833,1,0.995,0.8225,0.70825,0.35976,0.9357,0.000445625,0.000445625,0.000445625
67,316.953,0.75629,0.45706,0.99566,0.99467,1,0.995,0.83285,0.71538,0.35337,0.92887,0.00043325,0.00043325,0.00043325
68,321.624,0.71141,0.4324,0.97374,0.99416,1,0.9945,0.84073,0.68055,0.34711,0.91529,0.000420875,0.000420875,0.000420875
69,326.232,0.6919,0.4381,0.97006,0.99435,1,0.99396,0.83616,0.68029,0.34392,0.91462,0.0004085,0.0004085,0.0004085
70,331.258,0.72208,0.44986,1.00244,0.99444,1,0.9948,0.82342,0.72394,0.34831,0.93698,0.000396125,0.000396125,0.000396125
71,336.366,0.74873,0.45051,1.01017,0.99941,1,0.995,0.822,0.70541,0.35128,0.92744,0.00038375,0.00038375,0.00038375
72,341.129,0.71934,0.45577,0.99119,0.99452,1,0.995,0.83057,0.6837,0.33528,0.92857,0.000371375,0.000371375,0.000371375
73,345.891,0.7219,0.43857,0.99113,0.9948,1,0.995,0.82713,0.68949,0.33619,0.93743,0.000359,0.000359,0.000359
74,350.65,0.69954,0.43264,0.98542,0.99876,1,0.995,0.845,0.66299,0.33452,0.92659,0.000346625,0.000346625,0.000346625
75,355.248,0.73329,0.4387,1.00699,0.99866,1,0.995,0.85027,0.65512,0.33813,0.92439,0.00033425,0.00033425,0.00033425
76,359.898,0.69944,0.41135,0.99002,0.99866,1,0.995,0.86511,0.64156,0.33393,0.92218,0.000321875,0.000321875,0.000321875
77,364.506,0.71867,0.41908,0.9855,0.99859,1,0.995,0.85902,0.63748,0.32962,0.91972,0.0003095,0.0003095,0.0003095
78,369.104,0.68265,0.4048,0.98647,0.99915,0.99968,0.995,0.84043,0.67654,0.33237,0.93533,0.000297125,0.000297125,0.000297125
79,373.7,0.68407,0.42402,0.97541,0.99349,1,0.99495,0.85101,0.64766,0.32714,0.91995,0.00028475,0.00028475,0.00028475
80,378.323,0.67842,0.40976,0.9598,0.99371,1,0.99495,0.85759,0.62706,0.32002,0.90601,0.000272375,0.000272375,0.000272375
81,382.954,0.66331,0.4129,0.96286,0.99698,1,0.995,0.86009,0.63706,0.3215,0.91034,0.00026,0.00026,0.00026
82,387.547,0.72076,0.42304,1.00125,0.99788,1,0.995,0.86038,0.62762,0.31304,0.90754,0.000247625,0.000247625,0.000247625
