epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,663.377,1.23007,0.73957,1.17233,0.96777,0.97539,0.98697,0.68087,1.15417,0.60457,1.1426,0.000623,0.000623,0.000623
78,671.877,1.20888,0.74319,1.17134,0.97159,0.97668,0.98837,0.67451,1.15516,0.59971,1.15237,0.00061475,0.00061475,0.00061475
79,680.356,1.201,0.69797,1.15674,0.96632,0.98068,0.98449,0.67614,1.15775,0.59939,1.15525,0.0006065,0.0006065,0.0006065
80,688.801,1.19272,0.69007,1.16972,0.96619,0.98264,0.9879,0.70037,1.07665,0.57607,1.12123,0.00059825,0.00059825,0.00059825
81,697.074,1.15429,0.68592,1.14665,0.97334,0.9775,0.98843,0.70881,1.07012,0.57859,1.13271,0.00059,0.00059,0.00059
82,705.768,1.2534,0.70504,1.19139,0.97657,0.98428,0.9908,0.70456,1.03916,0.57025,1.10033,0.00058175,0.00058175,0.00058175
83,714.009,1.21231,0.70777,1.14775,0.97611,0.98068,0.98796,0.70148,1.08218,0.57185,1.11746,0.0005735,0.0005735,0.0005735
84,722.434,1.18242,0.68933,1.15664,0.97938,0.97924,0.98915,0.7087,1.06459,0.55303,1.10829,0.00056525,0.00056525,0.00056525
85,730.731,1.13443,0.67044,1.12415,0.96515,0.99011,0.99198,0.67934,1.12776,0.56236,1.13439,0.000557,0.000557,0.000557
86,739.014,1.15938,0.66186,1.12672,0.97403,0.98068,0.98978,0.70414,1.08312,0.55517,1.11482,0.00054875,0.00054875,0.00054875
87,747.435,1.1595,0.66013,1.13156,0.98124,0.96919,0.98957,0.69486,1.07455,0.57331,1.12155,0.0005405,0.0005405,0.0005405
88,755.751,1.05513,0.63691,1.08535,0.96793,0.98573,0.98847,0.71031,1.02682,0.57457,1.10312,0.00053225,0.00053225,0.00053225
89,764.12,1.07585,0.62976,1.10164,0.96402,0.97687,0.98739,0.70276,1.09667,0.58264,1.13368,0.000524,0.000524,0.000524
90,772.577,1.11968,0.66373,1.11197,0.97581,0.98068,0.99085,0.70383,1.10567,0.56681,1.13657,0.00051575,0.00051575,0.00051575
91,780.953,1.05793,0.61495,1.09516,0.97607,0.98573,0.98999,0.70494,1.08835,0.56156,1.11938,0.0005075,0.0005075,0.0005075
92,789.296,1.06737,0.63891,1.10278,0.9736,0.97745,0.98775,0.70882,1.07392,0.56083,1.11633,0.00049925,0.00049925,0.00049925
93,797.537,1.12737,0.64137,1.12369,0.9839,0.98265,0.99044,0.72934,1.01988,0.54504,1.09327,0.000491,0.000491,0.000491
94,805.935,1.12974,0.64078,1.13482,0.97859,0.98573,0.98887,0.73142,0.98816,0.53354,1.06828,0.00048275,0.00048275,0.00048275
95,814.329,1.07373,0.64535,1.11256,0.97099,0.98406,0.9882,0.73941,0.97431,0.53376,1.0614,0.0004745,0.0004745,0.0004745
96,822.988,1.08617,0.62867,1.11684,0.96474,0.9639,0.98936,0.74111,0.98708,0.53848,1.07002,0.00046625,0.00046625,0.00046625
97,831.403,1.06345,0.64432,1.10698,0.96906,0.97563,0.99035,0.71517,1.04763,0.54307,1.09165,0.000458,0.000458,0.000458
98,839.898,1.08742,0.6186,1.12591,0.97183,0.98573,0.99002,0.72657,1.03371,0.52713,1.06973,0.00044975,0.00044975,0.00044975
99,848.259,1.09599,0.60595,1.09047,0.96249,0.98573,0.99143,0.73778,1.00189,0.51348,1.06582,0.0004415,0.0004415,0.0004415
100,856.739,1.0849,0.63299,1.09548,0.9788,0.95832,0.98934,0.73605,0.97176,0.50569,1.05316,0.00043325,0.00043325,0.00043325
101,865.282,1.12598,0.6507,1.12737,0.97567,0.96351,0.98843,0.72653,0.99872,0.52066,1.06332,0.000425,0.000425,0.000425
