epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2453,0.72987,0.52086,0.98872,1,0.99947,0.995,0.84166,0.77261,0.5469,0.9792,0.000561279,0.000561279,0.000561279
69,2487.92,0.79038,0.50998,1.02194,0.99859,1,0.995,0.83812,0.80218,0.5572,0.98966,0.000544776,0.000544776,0.000544776
70,2523.07,0.84899,0.57495,1.05429,0.99654,0.99,0.9948,0.79895,0.89429,0.61279,1.02227,0.000528272,0.000528272,0.000528272
71,2558.21,0.75499,0.54511,1.02473,0.99971,1,0.995,0.78588,0.89024,0.62851,1.03784,0.000511769,0.000511769,0.000511769
72,2593.72,0.71376,0.49466,0.98509,1,0.99975,0.995,0.81101,0.84919,0.60057,1.00467,0.000495266,0.000495266,0.000495266
73,2629.51,0.75287,0.52233,1.00436,0.99931,1,0.995,0.82456,0.80818,0.57842,0.98631,0.000478762,0.000478762,0.000478762
74,2664.38,0.67958,0.48195,0.98995,0.99808,1,0.995,0.85347,0.72559,0.52032,0.9602,0.000462259,0.000462259,0.000462259
75,2699.34,0.7214,0.49469,0.98838,0.99871,1,0.995,0.85737,0.66719,0.50107,0.93781,0.000445756,0.000445756,0.000445756
76,2734.98,0.72541,0.48767,0.99289,0.99911,1,0.995,0.86113,0.69788,0.4934,0.94589,0.000429253,0.000429253,0.000429253
77,2770.47,0.73048,0.49472,1.00568,0.99925,1,0.995,0.85472,0.7072,0.49383,0.95073,0.000412749,0.000412749,0.000412749
78,2805.79,0.74343,0.48684,1.00762,0.99939,1,0.995,0.84569,0.70184,0.49859,0.94948,0.000396246,0.000396246,0.000396246
79,2841.13,0.78967,0.53056,1.01644,0.99956,1,0.995,0.85262,0.69232,0.52914,0.94619,0.000379743,0.000379743,0.000379743
80,2875.76,0.74194,0.51814,1.01966,0.99978,1,0.995,0.85016,0.7098,0.53972,0.95669,0.000363239,0.000363239,0.000363239
81,2910.69,0.69142,0.47605,0.99125,1,0.99961,0.995,0.85437,0.7058,0.52686,0.95792,0.000346736,0.000346736,0.000346736
82,2945.45,0.68545,0.49152,1.00129,1,0.99973,0.995,0.84255,0.69468,0.48254,0.96371,0.000330233,0.000330233,0.000330233
83,2981,0.63827,0.44823,0.96441,0.9995,1,0.995,0.82764,0.72434,0.46618,0.97522,0.000313729,0.000313729,0.000313729
84,3015.98,0.67918,0.48106,0.98765,0.9994,1,0.995,0.84612,0.68322,0.45171,0.95602,0.000297226,0.000297226,0.000297226
85,3050.59,0.70067,0.49812,0.98451,0.99939,1,0.995,0.8485,0.6623,0.45211,0.94507,0.000280723,0.000280723,0.000280723
86,3085.71,0.71082,0.48299,1.00381,0.99933,1,0.995,0.85262,0.65643,0.4648,0.93968,0.00026422,0.00026422,0.00026422
87,3120.6,0.66863,0.4744,0.9744,0.9994,1,0.995,0.85527,0.66041,0.4681,0.93493,0.000247716,0.000247716,0.000247716
88,3155.01,0.64294,0.46421,0.9793,0.99958,1,0.995,0.8465,0.67468,0.47318,0.93262,0.000231213,0.000231213,0.000231213
89,3190.14,0.68492,0.48436,0.97898,0.99961,1,0.995,0.84857,0.66356,0.46566,0.92868,0.00021471,0.00021471,0.00021471
90,3224.22,0.6257,0.44211,0.94694,0.9996,1,0.995,0.86631,0.62843,0.44974,0.91926,0.000198206,0.000198206,0.000198206
91,3258.26,0.57237,0.47085,0.89932,0.99936,1,0.995,0.88272,0.60688,0.44133,0.91434,0.000181703,0.000181703,0.000181703
92,3292.97,0.56357,0.46122,0.86649,0.99921,1,0.995,0.88023,0.61003,0.43804,0.91302,0.0001652,0.0001652,0.0001652
93,3326.7,0.58344,0.48395,0.89046,0.99915,1,0.995,0.88028,0.61234,0.43843,0.91334,0.000148696,0.000148696,0.000148696
94,3361.17,0.59868,0.46321,0.89103,0.99905,1,0.995,0.87502,0.60391,0.43578,0.90973,0.000132193,0.000132193,0.000132193
95,3395.41,0.56292,0.46979,0.88558,0.99909,1,0.995,0.87923,0.58429,0.43347,0.90392,0.00011569,0.00011569,0.00011569
96,3430.13,0.5656,0.44627,0.88531,0.99913,1,0.995,0.8843,0.57272,0.42953,0.90153,9.91865e-05,9.91865e-05,9.91865e-05
97,3465.48,0.56456,0.44659,0.88751,0.9991,1,0.995,0.88878,0.56945,0.42793,0.90064,8.26832e-05,8.26832e-05,8.26832e-05
98,3499.73,0.52517,0.42548,0.87635,0.99899,1,0.995,0.89132,0.56364,0.42693,0.89975,6.61799e-05,6.61799e-05,6.61799e-05
99,3534.51,0.53858,0.44245,0.87402,0.99895,1,0.995,0.88366,0.56258,0.42793,0.89938,4.96766e-05,4.96766e-05,4.96766e-05
100,3569.31,0.51477,0.42437,0.88573,0.99896,1,0.995,0.88168,0.56054,0.42954,0.89974,3.31733e-05,3.31733e-05,3.31733e-05
